sample_id	pair	r1	r2	status
mason	mason_hannah	data/raw/mason/56002505086925_D1_L1_S2807_L001_R1_001.fastq.gz	data/raw/mason/56002505086925_D1_L1_S2807_L001_R2_001.fastq.gz	ready
hannah	mason_hannah	data/raw/hannah/REPLACE_WITH_HANNAH_R1.fastq.gz	data/raw/hannah/REPLACE_WITH_HANNAH_R2.fastq.gz	pending
